# OD Cross-Sections
# (Nee & Lee 1984), 115-180 nm binned. Valid temperature not reported in original source.
# [nm]	[cm^2]
115.5	8.116e-18
116.5	5.057e-18
117.5	5.954e-18
118.5	1.343e-17
119.5	4.722e-18
120.5	1.953e-17
121.5	9.897e-18
122.5	7.616e-18
123.5	6.247e-18
124.5	1.406e-17
125.5	9.106e-18
126.5	9.986e-18
127.5	1.011e-17
128.5	9.481e-18
129.5	1.219e-17
130.5	6.339e-18
131.5	9.383e-18
132.5	6.915e-18
133.5	4.922e-18
134.5	3.621e-18
135.5	4.924e-18
136.5	3.132e-18
137.5	5.991e-18
138.5	8.967e-18
139.5	6.923e-18
140.5	7.059e-18
141.5	7.127e-18
142.5	8.041e-18
143.5	6.808e-18
144.5	7.266e-18
145.5	7.453e-18
146.5	5.915e-18
147.5	4.936e-18
148.5	6.475e-18
149.5	4.684e-18
150.5	6.291e-18
151.5	7.357e-18
152.5	7.071e-18
153.5	5.483e-18
154.5	5.957e-18
155.5	7.260e-18
156.5	6.602e-18
157.5	4.912e-18
158.5	6.722e-18
159.5	7.382e-18
160.5	6.166e-18
161.5	7.368e-18
162.5	7.369e-18
163.5	9.719e-18
164.5	7.066e-18
165.5	5.225e-18
166.5	8.573e-18
167.5	6.985e-18
168.5	6.512e-18
169.5	7.173e-18
170.5	7.157e-18
171.5	5.670e-18
172.5	5.384e-18
173.5	5.402e-18
174.5	3.949e-18
175.5	4.812e-18
176.5	1.127e-18
177.5	1.619e-18

